date,availability
2021/07/07,41.5246
2021/07/08,41.35495
2021/07/09,40.15169
2021/07/10,36.34743
2021/07/11,36.68712
2021/07/12,37.71692
2021/07/13,39.17933
2021/07/14,40.81147
2021/07/15,40.166
2021/07/16,40.55788
2021/07/17,40.19003
2021/07/18,39.81637
2021/07/19,40.4245
2021/07/20,41.11833
2021/07/21,41.58496
2021/07/22,40.83619
2021/07/23,42.65491
2021/07/24,40.43438
2021/07/25,40.81084
2021/07/26,42.97802
2021/07/27,42.73625
2021/07/28,43.53417
2021/07/29,44.46867
2021/07/30,44.59031
2021/07/31,43.11258
2021/08/01,42.69568
2021/08/02,42.32336
2021/08/03,41.98573
2021/08/04,41.56
2021/08/05,41.17907
2021/08/06,39.10868
2021/08/07,39.42823
2021/08/08,38.57301
2021/08/09,39.82843
2021/08/10,40.02431
2021/08/11,39.47452
2021/08/12,39.84884
2021/08/13,38.54333
2021/08/14,38.52966
2021/08/15,39.56546
2021/08/16,41.3693
2021/08/17,43.47633
2021/08/18,43.53701
2021/08/19,43.72508
2021/08/20,43.39238
2021/08/21,41.25948
2021/08/22,41.81886
2021/08/23,43.14
2021/08/24,43.00156
2021/08/25,42.83899
2021/08/26,43.38358
2021/08/27,43.37708
2021/08/28,42.51583
2021/08/29,42.79
2021/08/30,44.40008
2021/08/31,44.97225
2021/09/01,45.15658
2021/09/02,45.32127
2021/09/03,44.81888
2021/09/04,43.04888
2021/09/05,42.57742
2021/09/06,44.35862
2021/09/07,45.199
2021/09/08,44.93408
2021/09/09,44.21356
2021/09/10,42.80978
2021/09/11,40.51834
2021/09/12,41.8324
2021/09/13,43.1726
2021/09/14,42.189
2021/09/15,42.57275
2021/09/16,43.28603
2021/09/17,41.949
2021/09/18,38.00848
2021/09/19,39.31049
2021/09/20,41.59834
2021/09/21,42.94711
2021/09/22,42.45021
2021/09/23,41.49045
2021/09/24,40.63339
2021/09/25,38.64771
2021/09/26,39.02787
2021/09/27,39.75583
2021/09/28,40.6176
2021/09/29,41.18974
2021/09/30,41.97942
2021/10/01,42.83857
2021/10/02,40.05914
2021/10/03,39.74102
2021/10/04,41.77248
2021/10/05,40.52022
2021/10/06,42.09759
2021/10/07,41.476
2021/10/08,42.11628
2021/10/09,42.5864
2021/10/10,43.22943
2021/10/11,44.32307
2021/10/12,44.68858
2021/10/13,44.747
2021/10/14,44.96719
2021/10/15,43.84542
2021/10/16,43.74795
2021/10/17,43.86312
2021/10/18,43.9662
2021/10/19,42.55662
2021/10/20,42.92188
2021/10/21,42.44188
2021/10/22,41.11812
2021/10/23,39.46825
2021/10/24,40.91625
2021/10/25,41.71553
2021/10/26,42.98346
2021/10/27,43.98896
2021/10/28,44.855
2021/10/29,44.31316
2021/10/30,43.99896
2021/10/31,43.68628
2021/11/01,42.62847
2021/11/02,43.22309
2021/11/03,42.83542
2021/11/04,43.10417
2021/11/05,42.06253
2021/11/06,40.39787
2021/11/07,40.8025
2021/11/08,41.88993
2021/11/09,43.055
2021/11/10,42.97394
2021/11/11,42.19439
2021/11/12,42.88075
2021/11/13,42.87743
2021/11/14,42.08055
2021/11/15,41.97463
2021/11/16,44.6386
2021/11/17,44.762
2021/11/18,44.762
2021/11/19,44.76288
2021/11/20,43.84156
2021/11/21,43.1709
2021/11/22,43.54917
2021/11/23,43.58741
2021/11/24,41.98292
2021/11/25,42.49729
2021/11/26,42.525
2021/11/27,41.67656
2021/11/28,41.84207
2021/11/29,43.17812
2021/11/30,44.69649
2021/12/01,43.7299
2021/12/02,43.05619
2021/12/03,42.495
2021/12/04,41.48906
2021/12/05,41.17451
2021/12/06,42.16547
2021/12/07,42.445
2021/12/08,42.45542
2021/12/09,42.86682
2021/12/10,43.225
2021/12/11,43.21736
2021/12/12,43.20659
2021/12/13,43.82803
2021/12/14,43.49918
2021/12/15,43.77067
2021/12/16,44.86734
2021/12/17,43.79632
2021/12/18,44.225
2021/12/19,43.52869
2021/12/20,42.89368
2021/12/21,43.08102
2021/12/22,44.34958
2021/12/23,43.79625
2021/12/24,42.80931
2021/12/25,43.66201
2021/12/26,44.61483
2021/12/27,45.40241
2021/12/28,45.44364
2021/12/29,44.29595
2021/12/30,43.77118
2021/12/31,43.23475
2022/01/01,42.94689
2022/01/02,43.62769
2022/01/03,45.44293
2022/01/04,46.42863
2022/01/05,46.71036
2022/01/06,47.85562
2022/01/07,47.82987
2022/01/08,46.85884
2022/01/09,48.02599
2022/01/10,48.94217
2022/01/11,47.753
2022/01/12,47.92022
2022/01/13,47.98597
2022/01/14,48.686
2022/01/15,48.87901
2022/01/16,49.021
2022/01/17,49.021
2022/01/18,48.99928
2022/01/19,48.94316
2022/01/20,48.74617
2022/01/21,49.702
2022/01/22,49.807
2022/01/23,49.19079
2022/01/24,49.6083
2022/01/25,49.33117
2022/01/26,49.57048
2022/01/27,49.41775
2022/01/28,49.71365
2022/01/29,48.72887
2022/01/30,49.54238
2022/01/31,48.65489
2022/02/01,48.47283
2022/02/02,48.96075
2022/02/03,48.84367
2022/02/04,48.82012
2022/02/05,45.95502
2022/02/06,45.62502
2022/02/07,45.74446
2022/02/08,46.331
2022/02/09,46.177
2022/02/10,46.5803
2022/02/11,46.82512
2022/02/12,44.53033
2022/02/13,43.49024
2022/02/14,44.71862
2022/02/15,44.855
2022/02/16,45.93166
2022/02/17,45.7394
2022/02/18,45.48694
2022/02/19,42.71159
2022/02/20,41.86397
2022/02/21,42.68488
2022/02/22,43.95767
2022/02/23,44.426
2022/02/24,44.3285
2022/02/25,44.426
2022/02/26,43.4855
2022/02/27,42.887
2022/02/28,43.03031
2022/03/01,43.4
2022/03/02,43.25579
2022/03/03,43.11417
2022/03/04,43.29
2022/03/05,43.29
2022/03/06,42.87342
2022/03/07,42.72721
2022/03/08,42.9441
2022/03/09,43.17
2022/03/10,40.54172
2022/03/11,40.43007
2022/03/12,36.91145
2022/03/13,36.52094
2022/03/14,36.00248
2022/03/15,36.04321
2022/03/16,36.43083
2022/03/17,36.92
2022/03/18,36.92
2022/03/19,35.815
2022/03/20,34.98486
2022/03/21,35.19186
2022/03/22,34.89312
2022/03/23,33.435
2022/03/24,33.435
2022/03/25,33.30604
2022/03/26,30.7083
2022/03/27,31.33161
2022/03/28,31.49
2022/03/29,31.49
2022/03/30,31.11292
2022/03/31,30.585
2022/04/01,31.15142
2022/04/02,30.87806
2022/04/03,31.97573
2022/04/04,32.63972
2022/04/05,32.57542
2022/04/06,32.49391
2022/04/07,32.71406
2022/04/08,32.27603
2022/04/09,31.33563
2022/04/10,32.58316
2022/04/11,32.50396
2022/04/12,33.19562
2022/04/13,33.23125
2022/04/14,33.90578
2022/04/15,33.57479
2022/04/16,31.76154
2022/04/17,31.70131
2022/04/18,31.55849
2022/04/19,32.65895
2022/04/20,32.30165
2022/04/21,31.73991
2022/04/22,31.8655
2022/04/23,29.95463
2022/04/24,29.82683
2022/04/25,30.52516
2022/04/26,30.70292
2022/04/27,30.43333
2022/04/28,29.87104
2022/04/29,28.94561
